Fecha,Apertura,Máximo,Mínimo,Cierre,Cierre_Ajustado,Volumen
,2284280.0,2304230.0,2168124.0,2177975.0,2177975.0,
,2364950.0,2368527.0,2275243.0,2284280.0,2284280.0,
,2248803.0,2364950.0,2248803.0,2364950.0,2364950.0,
,2111490.0,2279363.0,2111490.0,2248803.0,2248803.0,
,2171404.0,2171404.0,2027435.0,2111490.0,2111490.0,
,1990621.0,2195637.0,1889591.0,2182907.0,2182907.0,
,2025967.0,2129441.0,1978887.0,1990621.0,1990621.0,
,2107816.0,2132317.0,2016505.0,2025967.0,2025967.0,
,2275659.0,2275659.0,2032460.0,2107816.0,2107816.0,
,2356531.0,2356531.0,2267110.0,2275659.0,2275659.0,
,2338761.0,2389697.0,2332454.0,2356531.0,2356531.0,
2025-03-31,2378563.0,2378563.0,2309661.0,2338761.0,2338761.0,
2025-03-28,2412082.0,2412082.0,2351718.0,2378563.0,2378563.0,
2025-03-27,2439966.0,2500776.0,2403213.0,2412082.0,2412082.0,
2025-03-26,2487680.0,2512180.0,2429870.0,2439966.0,2439966.0,
2025-03-25,2456158.0,2506952.0,2433538.0,2487680.0,2487680.0,
2025-03-21,2361583.0,2435858.0,2353466.0,2433538.0,2433538.0,
2025-03-20,2392030.0,2392030.0,2351124.0,2361583.0,2361583.0,
2025-03-19,2288538.0,2397160.0,2288538.0,2392030.0,2392030.0,
2025-03-18,2346306.0,2346306.0,2270953.0,2288538.0,2288538.0,
2025-03-17,2335575.0,2374727.0,2330971.0,2346306.0,2346306.0,
2025-03-14,2232180.0,2339960.0,2232180.0,2335575.0,2335575.0,
2025-03-13,2272937.0,2285403.0,2226945.0,2232180.0,2232180.0,
2025-03-12,2159500.0,2287574.0,2159500.0,2272937.0,2272937.0,
2025-03-11,2138846.0,2188768.0,2120805.0,2159500.0,2159500.0,
2025-03-10,2262289.0,2262289.0,2105937.0,2138846.0,2138846.0,
2025-03-07,2270181.0,2305675.0,2192901.0,2262289.0,2262289.0,
2025-03-06,2290050.0,2327823.0,2253707.0,2270181.0,2270181.0,
2025-03-05,2205801.0,2295600.0,2184495.0,2290050.0,2290050.0,
2025-02-28,2193657.0,2247604.0,2149790.0,2205801.0,2205801.0,
2025-02-27,2275037.0,2312080.0,2180987.0,2193657.0,2193657.0,
2025-02-26,2282899.0,2320068.0,2266840.0,2275037.0,2275037.0,
2025-02-25,2348398.0,2363829.0,2252324.0,2282899.0,2282899.0,
2025-02-24,2364529.0,2408913.0,2317817.0,2348398.0,2348398.0,
2025-02-21,2410221.0,2457126.0,2361563.0,2364529.0,2364529.0,
2025-02-20,2401580.0,2414498.0,2357637.0,2410221.0,2410221.0,
2025-02-19,2391725.0,2429851.0,2364105.0,2401580.0,2401580.0,
2025-02-18,2254189.0,2407000.0,2254189.0,2391725.0,2391725.0,
2025-02-17,2387386.0,2387386.0,2236974.0,2254189.0,2254189.0,
2025-02-14,2353744.0,2390258.0,2334352.0,2387386.0,2387386.0,
2025-02-13,2285846.0,2366143.0,2285846.0,2353744.0,2353744.0,
2025-02-12,2273568.0,2332300.0,2199945.0,2285846.0,2285846.0,
2025-02-11,2391368.0,2405362.0,2254927.0,2273568.0,2273568.0,
2025-02-10,2416382.0,2462059.0,2386598.0,2391368.0,2391368.0,
2025-02-07,2503483.0,2541171.0,2396453.0,2416382.0,2416382.0,
2025-02-06,2477714.0,2527850.0,2476905.0,2503483.0,2503483.0,
2025-02-05,2523647.0,2534768.0,2475954.0,2477714.0,2477714.0,
2025-02-04,2484136.0,2548717.0,2484136.0,2523647.0,2523647.0,
2025-02-03,2564659.0,2564659.0,2448946.0,2484136.0,2484136.0,
,2599329.0,2622881.0,2554535.0,2564659.0,2564659.0,
,2545356.0,2619895.0,2545356.0,2599329.0,2599329.0,
,2435629.0,2549697.0,2430901.0,2545356.0,2545356.0,
,2439099.0,2487845.0,2374518.0,2435629.0,2435629.0,
,2566082.0,2566082.0,2422949.0,2439099.0,2439099.0,
,2625050.0,2631626.0,2464334.0,2566082.0,2566082.0,
,2680946.0,2683816.0,2622049.0,2625050.0,2625050.0,
,2619719.0,2685340.0,2617583.0,2680946.0,2680946.0,
,2536837.0,2627516.0,2520830.0,2619719.0,2619719.0,
,2510886.0,2567112.0,2510886.0,2536837.0,2536837.0,
,2629377.0,2660213.0,2503741.0,2510886.0,2510886.0,
,2704474.0,2720523.0,2624423.0,2629377.0,2629377.0,
,2733273.0,2791872.0,2680348.0,2704474.0,2704474.0,
,2655179.0,2762831.0,2655179.0,2733273.0,2733273.0,
,2805140.0,2818819.0,2652408.0,2655179.0,2655179.0,
,2829730.0,2839302.0,2737261.0,2805140.0,2805140.0,
,2782477.0,2843736.0,2782477.0,2829730.0,2829730.0,
,2822175.0,2831309.0,2710328.0,2782477.0,2782477.0,
,2801221.0,2867775.0,2765217.0,2822175.0,2822175.0,
,2728911.0,2828294.0,2728911.0,2801221.0,2801221.0,
,2695646.0,2758795.0,2643760.0,2728911.0,2728911.0,
,2533635.0,2700930.0,2533635.0,2695646.0,2695646.0,
,2577689.0,2588511.0,2517966.0,2533635.0,2533635.0,
,2597389.0,2624818.0,2543699.0,2577546.0,2577546.0,
,2551020.0,2618537.0,2549444.0,2597389.0,2597389.0,
,2501153.0,2554800.0,2501153.0,2551020.0,2551020.0,
,2467562.0,2521789.0,2436293.0,2501153.0,2501153.0,
,2419894.0,2472778.0,2347468.0,2467562.0,2467562.0,
,2521017.0,2548100.0,2416286.0,2419894.0,2419894.0,
,2592201.0,2680484.0,2517160.0,2521017.0,2521017.0,
,2543202.0,2605895.0,2543202.0,2592201.0,2592201.0,
,2370662.0,2548716.0,2370662.0,2543202.0,2543202.0,
,2304090.0,2374600.0,2304090.0,2370662.0,2370662.0,
